x y
0.1 362672.5317
0.2 363571.342
0.5 368595.3276
1 373821.9351
2 678617.3216
3 745487.7648
4 768664.6
5 789337.2357
6 799764.4736
7 805505.4292
8 813246.6273
9 822764.6641
10 835711.688
11 13291.88096
12 15538.34152
13 10552.78821
14 8249.985553
15 6812.597515
16 5940.710777
17 5293.498989
18 4820.398729
19 4491.014158
20 4229.529038
30 3582.317249
40 4222.999133
50 3856.053164
60 4655.10971
70 3044.524877
80 3761.4949
90 3044.524877
100 3408.205324
