buffersize averagequerythroughput
50 41.37
100 50.51
250 88.90
500 392.40
750 944.33
1000 1604.42
2000 3422.91
3000 4766.98
4000 7081.96
5000 7108.87
6000 8247.69
7000 6740.96
8000 8959.90
9000 8779.66
10000 8452.28
15000 9904.30
20000 10200.23
