x y
0.1 1144517.654
0.2 1148911.13
0.5 1149712.724
1 1121732.444
2 1193439.711
3 1196770.732
4 1188032.931
5 1160931.073
6 1215803.567
7 1181890.754
8 1170415.972
9 1199170.251
10 1216894.139
11 9967.75498399999
12 10067.37937
13 8616.931523
14 7503.149379
15 6090.205143
16 5455.301936
17 4888.991621
18 4496.735048
19 4191.909853
20 4017.856111
30 3364.114418
40 3718.809593
50 3413.984398
60 4307.015569
70 3044.524877
80 3408.205324
90 2862.684654
100 2862.684654
