Lower Upper Count
0 1 287432
2 6 3673285
7 19 2350077
20 53 1235612
54 147 334418
148 402 394820
403 1095 221837
1096 2979 86772
2980 8102 118983
8103 22025 220823
22026 59873 307526
59874 162753 214394
162754 442412 45556
442413 1202603 1442
1202604 3269016 5
